,City,lat,lon,dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,wind_gust
0,shenjiamen,30.9909,125.7057,1657410224,82.44,87.03,1006,69,71.24,3.96,21,10000,5.48,102,5.03
1,mataura,-69.1167,-158.87,1657410225,-4.72,-17.32,966,96,-5.48,0.0,100,1273,18.66,276,27.49
2,busselton,-47.9853,94.1996,1657410227,41.18,31.39,992,68,31.51,0.0,98,10000,22.86,244,25.7
3,anjar,23.0269,69.9427,1657410229,80.47,86.09,1000,85,75.54,0.0,100,10000,14.61,238,23.02
4,ushuaia,-69.8925,-57.4607,1657410230,-32.08,-44.68,998,100,-32.08,0.0,98,6539,4.59,167,4.43
5,cape town,-59.6554,-2.6365,1657410232,27.09,14.49,982,88,24.37,0.0,100,10000,26.06,87,35.77
6,clyde river,68.9264,-82.3301,1657410233,62.28,59.85,1012,35,34.3,0.66,76,10000,5.35,179,7.87
7,wasilla,62.2887,-149.6914,1657410235,57.36,55.71,1011,62,44.47,2.0,100,10000,2.3,248,3.69
8,bredasdorp,-58.8845,20.9222,1657410236,27.75,15.15,996,69,19.9,0.0,100,10000,22.37,267,25.34
9,ushuaia,-84.7844,-63.0845,1657410238,-24.86,-37.46,1001,77,-29.27,0.0,80,10000,16.96,172,23.94
10,bluff,-75.8931,175.0955,1657410240,-18.54,-31.14,985,95,-19.44,0.0,100,10000,22.41,217,38.21
11,rikitea,-32.7728,-137.6749,1657410241,59.2,57.63,1022,60,45.34,1.09,18,10000,14.92,195,14.41
12,atambua,-9.7487,125.2627,1657410243,78.24,79.39,1014,77,70.45,1.52,100,10000,15.3,100,15.5
13,cockburn harbour,21.0607,-72.4896,1657410245,82.44,90.43,1018,82,76.39,0.0,100,10000,20.8,93,23.22
14,kirksville,39.9176,-92.212,1657410247,82.29,85.46,1019,63,68.43,0.49,41,10000,8.9,51,14.23
15,mys shmidta,76.3648,-173.8872,1657410248,33.28,24.57,1005,99,33.03,1.27,100,3207,11.61,75,19.8
16,ushuaia,-79.8711,-43.3466,1657410250,-48.77,-61.37,994,89,-50.53,0.0,9,10000,7.27,231,6.73
17,kapaa,31.147,-160.3935,1657410252,75.4,76.03,1027,72,65.75,9.79,51,10000,16.55,90,16.35
18,fort saint john,56.9976,-122.3164,1657410253,46.98,44.73,1009,95,45.63,0.31,100,10000,4.92,231,16.2
19,uglovka,58.2432,33.6317,1657410255,56.28,55.51,1012,83,51.19,0.0,99,10000,5.7,165,11.5
20,new norfolk,-72.9628,129.9021,1657410257,-40.41,-53.01,1007,100,-40.41,0.0,100,832,6.44,48,7.54
21,bredasdorp,-77.6094,18.6216,1657410258,-68.89,-81.49,1043,100,-68.89,0.0,96,10000,8.21,24,7.81
22,panama city,26.8412,-86.4034,1657410260,84.69,91.63,1017,69,73.38,0.15,57,10000,4.5,230,4.16
23,fairlie,-43.8849,170.403,1657410262,28.18,28.18,1026,83,24.21,1.2,100,10000,2.04,93,3.29
24,lebu,-38.4333,-97.7746,1657410264,52.27,50.4,1024,68,42.04,0.0,13,10000,11.72,163,12.57
25,atuona,3.8704,-134.3315,1657410265,79.66,79.66,1011,79,72.57,4.91,12,10000,13.6,118,15.32
26,mataura,-49.4765,-145.1245,1657410267,45.07,33.8,996,82,39.92,0.24,100,10000,41.81,353,50.11
27,busselton,-69.3185,80.9277,1657410268,-31.61,-44.21,984,58,-40.43,0.0,32,10000,29.51,112,46.68
28,stornoway,58.0526,-7.3537,1657410270,54.97,54.68,1028,96,53.85,0.0,78,10000,14.34,235,21.45
29,barrow,89.3757,-149.2897,1657410271,31.37,20.08,995,96,30.49,1.15,100,474,17.02,160,22.95
30,kodinsk,58.4313,99.7295,1657410273,63.86,62.73,1010,59,49.28,1.17,39,10000,0.92,287,1.74
31,hambantota,2.0024,82.4566,1657410275,82.49,88.9,1009,76,74.16,0.0,91,10000,13.06,248,15.48
32,tasiilaq,61.2274,-34.1256,1657410276,48.2,43.63,1000,96,47.12,0.0,100,10000,10.54,237,12.28
33,port alfred,-37.1097,27.7282,1657410278,69.15,69.62,1010,82,63.43,0.0,1,10000,22.15,314,28.52
34,deputatskiy,69.8341,137.8707,1657410279,58.14,55.81,1009,46,37.49,2.83,50,10000,13.89,178,18.05
35,carnarvon,-22.6945,98.3975,1657410281,67.15,66.52,1022,63,54.16,0.0,100,10000,22.66,127,22.77
36,jamestown,-49.6266,-13.0364,1657410282,38.61,26.01,977,90,35.92,0.0,99,10000,34.2,218,47.36
37,airai,17.9797,139.7688,1657410284,83.66,92.01,1010,77,75.69,6.0,98,10000,14.5,186,14.58
38,laguna,-45.8027,-29.2897,1657410286,44.11,34.97,1020,78,37.71,0.0,30,10000,24.58,256,31.5
